YEAR,LOCATION,CATTLE_BREED_TYPE,CATTLE_GENDER,CATTLE_AGE_0_6,CATTLE_AGE_6_6,CATTLE_AGE_6_12,CATTLE_AGE_12_18,CATTLE_AGE_18_24,CATTLE_AGE_24_30,CATTLE_AGE_30_36,CATTLE_AGE_36_PLUS
2019,Vartry,DAIRY,F,32,118,167,172,231,105,64,32
2014,Currane,DAIRY,C,0,0,0,0,0,0,4,42
2020,Moy,DAIRY,M,199,336,1166,266,908,146,183,49
2020,Erriff,DAIRY,M,0,4,183,69,385,28,16,3
2014,Ilen,DAIRY,F,98,361,5070,459,4887,478,1076,195
2019,Gweebarra,BEEF,F,7,71,230,62,154,20,53,10
2020,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
2017,Erriff,DAIRY,F,0,0,20,0,70,9,7,2
2015,Gweebarra,DAIRY,F,0,1,12,0,17,0,0,0
2015,Dargle,BEEF,M,20,151,415,115,223,48,104,49
2017,Nore,DAIRY,M,510,2471,26194,2762,25704,1715,2514,481
2015,Doonbeg,BEEF,C,0,0,0,0,11,36,320,5837
2020,Moy,BEEF,M,735,3946,15507,2747,9665,1211,1407,1229
2017,Moy,BEEF,M,754,4019,15771,2827,10032,1254,1476,1253
2014,Boyne,BEEF,M,1497,8195,33823,8620,30361,5811,8822,3588
2015,Inny,BEEF,M,698,3846,15204,3789,13717,2144,3647,1691
2020,Gweebarra,BEEF,M,9,91,193,32,37,2,7,17
2019,Dodder,DAIRY,M,2,10,26,5,153,13,4,1
2019,Vartry,BEEF,C,0,0,0,0,7,15,176,1840
2015,Gweebarra,DAIRY,C,0,0,0,0,0,0,24,55
2020,Dargle,DAIRY,M,10,24,39,7,31,4,8,1
2019,Currane,DAIRY,M,0,0,20,0,6,0,3,0
2017,Doonbeg,BEEF,F,121,477,2512,325,1398,253,538,140
2017,Currane,BEEF,C,0,0,0,0,1,11,81,1252
2020,Erriff,DAIRY,C,0,0,0,0,0,1,23,47
2014,Currane,DAIRY,F,0,0,3,1,3,0,0,0
2020,Boyne,DAIRY,M,1014,3167,8820,3246,8241,1846,1863,425
2019,Moy,DAIRY,C,0,0,0,0,21,85,1337,9049
2018,Moy,BEEF,F,766,3878,17597,3232,13512,2315,4430,1013
2018,Doonbeg,BEEF,C,0,0,0,0,11,35,309,5795
2014,Inny,BEEF,F,667,3972,14908,3684,13771,2569,3835,825
2018,Inny,DAIRY,C,0,0,0,0,31,156,3284,15593
2015,Inny,DAIRY,F,246,640,5158,755,5290,709,1306,232
2017,Dargle,BEEF,F,8,177,492,122,431,106,166,30
2016,Vartry,DAIRY,C,0,0,0,0,1,45,108,1113
2018,Currane,DAIRY,C,0,0,0,0,0,0,3,34
2020,Erriff,DAIRY,F,0,0,20,1,70,9,7,2
2019,Ilen,DAIRY,M,103,304,1616,408,1472,98,219,37
2017,Ilen,DAIRY,M,103,320,1602,410,1441,99,214,37
2018,Erriff,DAIRY,M,0,0,116,5,131,6,5,2
2016,Vartry,BEEF,C,0,0,0,0,9,18,184,1805
2016,Ilen,BEEF,F,261,912,3972,716,2527,447,483,160
2018,Inny,DAIRY,F,255,632,5186,738,5379,715,1343,249
2015,Moy,BEEF,M,768,4077,15816,2758,10147,1282,1524,1268
2018,Inny,DAIRY,M,227,504,2209,521,2291,307,437,128
2016,Inny,DAIRY,M,228,513,2204,565,2020,278,423,122
2016,Gweebarra,DAIRY,M,0,0,19,1,26,0,1,0
2016,Boyne,BEEF,F,1486,7876,33387,9461,35640,7087,7850,1696
2015,Erriff,BEEF,C,0,0,0,0,2,4,26,803
2019,Dargle,BEEF,F,8,174,506,118,394,92,129,28
2018,Erriff,DAIRY,F,0,0,20,0,70,9,7,2
2016,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
2018,Ilen,BEEF,F,259,924,3955,734,2511,437,486,161
2016,Doonbeg,BEEF,F,118,466,2495,319,1384,253,536,140
2015,Moy,DAIRY,F,166,402,2207,462,2163,421,746,292
2018,Boyne,BEEF,M,1482,8066,32290,8422,29023,5614,8440,3366
2019,Currane,BEEF,M,31,220,172,50,61,26,27,45
2018,Dargle,DAIRY,M,11,38,48,16,58,15,14,1
2020,Nore,BEEF,C,0,0,0,2,188,600,4321,56479
2020,Ilen,BEEF,C,0,0,0,0,11,71,458,6731
2019,Ilen,DAIRY,C,0,0,0,0,27,109,3212,16701
2015,Inny,DAIRY,C,0,0,0,0,32,169,3205,15140
2019,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
2015,Dargle,DAIRY,F,0,17,190,14,180,19,19,2
2016,Currane,DAIRY,F,0,0,3,0,3,0,0,0
2018,Ilen,BEEF,M,288,1014,4620,849,2418,345,403,372
2017,Dargle,BEEF,M,20,151,415,115,223,48,104,49
2018,Boyne,DAIRY,C,0,0,0,0,86,1011,8163,51851
2014,Dodder,BEEF,C,0,0,0,0,1,8,43,556
2016,Inny,DAIRY,C,0,0,0,0,32,172,3278,15420
2020,Vartry,DAIRY,C,0,0,0,0,1,59,133,1259
2016,Dargle,BEEF,M,20,151,415,115,223,48,104,49
2016,Boyne,DAIRY,M,1053,3105,8743,3239,8328,1907,1932,451
2015,Boyne,DAIRY,M,1027,3092,8579,3239,8169,1911,1895,450
2018,Dodder,DAIRY,M,1,6,6,4,28,9,4,1
2016,Moy,BEEF,F,780,3904,17706,3262,13590,2319,4415,1024
2020,Dargle,BEEF,F,8,177,517,121,410,94,133,30
2019,Currane,DAIRY,C,0,0,0,0,0,0,3,34
2019,Boyne,BEEF,M,1461,8067,32588,8915,29901,5718,8494,3342
2016,Doonbeg,BEEF,M,112,515,2284,283,1236,166,288,264
2017,Vartry,BEEF,M,65,274,801,175,584,94,144,76
2019,Dodder,BEEF,M,15,112,226,73,116,23,17,30
2016,Doonbeg,BEEF,C,0,0,0,0,11,33,314,5717
2020,Inny,DAIRY,C,0,0,0,0,29,149,3082,15195
2015,Doonbeg,BEEF,F,130,473,2552,332,1410,260,535,141
2019,Doonbeg,DAIRY,F,10,52,1774,69,1721,38,448,69
2016,Doonbeg,DAIRY,C,0,0,0,0,5,4,1106,5002
2018,Vartry,DAIRY,C,0,0,0,0,1,59,133,1254
2020,Vartry,DAIRY,F,37,121,301,194,246,129,73,35
2017,Boyne,DAIRY,M,1038,3034,8596,3208,8194,1885,1871,435
2018,Gweebarra,DAIRY,M,0,0,19,1,26,1,1,0
2014,Vartry,DAIRY,C,0,0,0,0,1,48,126,1360
2019,Vartry,DAIRY,C,0,0,0,0,0,58,119,1056
2020,Boyne,DAIRY,F,1177,4134,14017,4819,13359,3778,4084,1260
